Name,Total population,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or more races,Median age,Median household income($),Male population,Female population,Total educational attainment,High school graduate,Bachelors degree,Masters degree,zip code tabulation area
ZCTA5 62344,20,20,0,0,0,0,0,0,66.9,-666666666,9,11,20,0,0,8,62344
ZCTA5 62345,379,373,0,0,1,0,3,2,43.2,73333,224,155,243,56,36,4,62345
ZCTA5 62346,128,127,0,0,0,0,0,1,54.1,74286,61,67,97,33,6,0,62346
ZCTA5 62347,1999,1993,0,0,0,0,0,6,45.2,77868,1028,971,1407,516,139,101,62347
ZCTA5 62348,219,215,0,0,0,0,0,4,38.8,72125,99,120,152,61,22,1,62348
ZCTA5 62349,680,647,10,1,0,0,1,21,57.9,59643,319,361,556,258,56,26,62349
ZCTA5 62351,1934,1918,0,0,0,0,3,13,38.9,76071,954,980,1273,363,165,89,62351
ZCTA5 62352,215,207,0,4,0,0,0,4,49.3,45893,108,107,140,69,8,0,62352
ZCTA5 62353,5006,3721,1053,17,3,0,156,56,36.9,64611,3435,1571,3676,1064,255,115,62353
ZCTA5 62354,1435,1397,11,8,14,0,0,5,44.8,57500,728,707,1016,336,183,51,62354
ZCTA5 62355,1062,1003,1,0,0,0,1,57,42.9,63625,538,524,828,405,88,7,62355
ZCTA5 62356,633,629,0,2,0,0,0,2,19.9,66000,372,261,296,88,20,2,62356
ZCTA5 62357,261,257,0,0,0,0,0,4,34.9,56157,156,105,186,63,9,1,62357
ZCTA5 62358,513,513,0,0,0,0,0,0,44.2,59688,300,213,347,137,24,66,62358
ZCTA5 62359,126,126,0,0,0,0,0,0,21.0,-666666666,72,54,62,18,15,0,62359
ZCTA5 62360,1898,1847,0,0,28,0,0,23,34.2,62688,901,997,1143,383,81,98,62360
ZCTA5 62361,330,330,0,0,0,0,0,0,35.7,52000,186,144,213,98,0,7,62361
ZCTA5 62362,353,341,6,0,0,0,0,6,51.9,34886,168,185,264,91,19,24,62362
ZCTA5 62363,5195,5018,66,0,23,0,21,67,49.1,52899,2482,2713,3914,1300,340,135,62363
ZCTA5 62365,406,385,0,0,0,0,0,21,53.7,70694,250,156,305,112,58,16,62365
ZCTA5 62366,1440,1421,0,0,0,0,0,19,30.8,56250,810,630,828,326,90,18,62366
ZCTA5 62367,1349,1302,15,0,19,0,2,11,49.7,49990,755,594,939,310,92,26,62367
ZCTA5 62370,332,319,0,0,8,0,0,5,53.5,88906,136,196,266,113,12,11,62370
ZCTA5 62373,267,267,0,0,0,0,0,0,56.7,41806,164,103,210,22,22,18,62373
ZCTA5 62374,211,211,0,0,0,0,0,0,47.9,66250,123,88,177,37,56,8,62374
ZCTA5 62375,508,502,0,0,0,0,0,6,47.4,71378,256,252,372,197,15,8,62375
ZCTA5 62376,1106,1053,0,0,0,0,10,43,39.9,87656,575,531,772,242,92,6,62376
ZCTA5 62378,814,727,0,15,0,0,0,72,38.8,54896,298,516,550,189,90,4,62378
ZCTA5 62379,1800,1759,3,0,0,3,3,32,43.4,60804,831,969,1327,413,175,89,62379
ZCTA5 62380,452,450,0,0,2,0,0,0,23.4,62105,198,254,212,94,15,6,62380
ZCTA5 62401,19240,18444,210,4,143,0,97,342,39.6,72438,9539,9701,13062,3388,1823,866,62401
ZCTA5 62410,1248,1191,0,0,28,0,1,28,39.6,80000,682,566,829,170,233,81,62410
ZCTA5 62411,4070,4051,0,0,0,0,6,13,44.0,71157,2066,2004,3072,845,444,174,62411
ZCTA5 62413,286,257,0,0,0,0,0,29,57.9,85192,145,141,259,80,58,0,62413
ZCTA5 62414,1644,1604,0,0,0,0,0,40,40.7,51458,768,876,1153,403,123,45,62414
ZCTA5 62417,2807,2632,126,0,0,0,0,49,43.4,53000,1461,1346,1954,637,291,79,62417
ZCTA5 62418,2076,1873,0,10,69,82,0,42,37.3,51027,1066,1010,1431,463,243,31,62418
ZCTA5 62419,258,249,0,0,0,0,0,9,40.3,87750,122,136,185,28,57,12,62419
ZCTA5 62420,4082,3889,63,3,0,0,0,127,39.9,56051,1874,2208,2849,799,473,154,62420
ZCTA5 62421,406,405,0,0,1,0,0,0,57.6,68750,212,194,328,66,99,28,62421
ZCTA5 62422,938,906,8,4,2,0,4,14,42.7,58672,454,484,614,264,73,28,62422
ZCTA5 62423,843,834,0,0,0,0,0,9,34.9,75568,454,389,533,14,63,43,62423
ZCTA5 62424,2475,2423,0,1,10,0,5,36,31.8,76833,1275,1200,1525,443,194,73,62424
ZCTA5 62425,843,829,0,0,0,0,12,2,34.2,111016,490,353,521,143,146,28,62425
ZCTA5 62426,890,758,0,3,8,0,0,121,51.4,51250,487,403,678,341,59,5,62426
ZCTA5 62427,1948,1937,0,1,0,0,0,10,38.2,66536,874,1074,1319,375,286,28,62427
ZCTA5 62428,2801,2741,0,0,8,0,8,44,40.4,56250,1327,1474,1903,700,323,72,62428
ZCTA5 62431,719,699,0,0,0,0,17,3,39.9,70000,341,378,520,210,65,6,62431
ZCTA5 62432,639,627,0,0,3,0,0,9,44.2,155893,261,378,429,75,137,111,62432
ZCTA5 62433,1150,1108,8,0,1,0,5,28,40.3,68681,574,576,794,184,163,59,62433
ZCTA5 62434,335,335,0,0,0,0,0,0,57.1,-666666666,180,155,282,143,7,0,62434
ZCTA5 62436,760,705,0,0,0,0,0,55,49.5,55500,371,389,542,206,25,10,62436
ZCTA5 62438,211,211,0,0,0,0,0,0,58.9,48500,110,101,211,67,64,9,62438
ZCTA5 62439,7005,6334,214,0,56,0,30,371,40.7,53766,3539,3466,4981,1239,685,288,62439
ZCTA5 62440,1055,1038,0,0,0,0,0,17,51.6,66058,542,513,806,278,64,72,62440
ZCTA5 62441,6927,6689,23,0,2,0,0,213,43.1,76681,3505,3422,4923,1796,766,424,62441
ZCTA5 62442,2540,2456,0,0,21,0,7,56,43.5,58438,1263,1277,1788,587,242,66,62442
ZCTA5 62443,1849,1749,0,9,9,0,64,18,38.6,77083,875,974,1265,561,136,19,62443
ZCTA5 62444,407,407,0,0,0,0,0,0,46.6,52500,203,204,307,133,23,0,62444
ZCTA5 62445,1150,1128,1,0,0,0,3,18,35.8,76761,677,473,717,260,208,10,62445
ZCTA5 62446,353,352,0,0,0,0,0,1,43.1,84792,198,155,245,86,43,5,62446
ZCTA5 62447,3172,3078,0,0,0,0,0,94,43.2,90074,1598,1574,2316,572,361,157,62447
ZCTA5 62448,5411,5163,13,0,9,3,68,155,46.9,63606,2855,2556,3895,1371,610,209,62448
ZCTA5 62449,2957,2812,28,1,1,0,18,97,47.8,57679,1533,1424,2234,686,429,129,62449
ZCTA5 62450,12327,11553,94,5,46,0,239,390,43.3,62033,6075,6252,8559,2300,1489,454,62450
ZCTA5 62451,1981,1933,0,1,3,0,0,44,46.8,62250,986,995,1422,406,253,81,62451
ZCTA5 62452,325,322,0,0,0,0,0,3,47.8,49375,183,142,239,53,34,2,62452
ZCTA5 62454,10604,9483,805,146,61,0,20,89,41.0,64668,5953,4651,7842,1416,1496,485,62454
ZCTA5 62458,2275,2211,15,0,28,0,0,21,43.3,52375,1154,1121,1552,532,198,41,62458
ZCTA5 62459,289,289,0,0,0,0,0,0,29.8,73125,135,154,166,45,23,0,62459
ZCTA5 62460,1171,977,0,31,0,0,0,163,45.1,63533,669,502,797,298,155,18,62460
ZCTA5 62461,652,643,0,0,0,0,0,9,56.3,68194,337,315,531,219,71,15,62461
ZCTA5 62462,1197,1194,0,0,0,0,0,3,32.7,66518,655,542,775,243,209,32,62462
ZCTA5 62463,1160,1140,0,0,5,0,6,9,45.4,53226,581,579,842,355,100,21,62463
ZCTA5 62464,157,101,4,0,0,0,0,52,23.9,72813,111,46,74,9,20,1,62464
ZCTA5 62465,913,893,0,0,0,0,0,20,37.4,80515,462,451,590,200,107,16,62465
ZCTA5 62466,4171,3078,888,2,11,0,91,101,39.9,62361,2885,1286,3216,727,351,33,62466
ZCTA5 62467,3929,3755,13,0,65,0,13,83,38.8,96339,2049,1880,2652,769,474,135,62467
ZCTA5 62468,2369,2189,12,0,0,0,141,27,47.8,71444,1277,1092,1748,644,303,62,62468
ZCTA5 62469,388,388,0,0,0,0,0,0,29.7,107632,252,136,239,119,51,7,62469
ZCTA5 62471,10305,9090,609,76,3,10,49,468,42.2,51429,5588,4717,7489,2429,908,252,62471
ZCTA5 62473,1143,1133,0,0,0,0,0,10,49.7,69837,577,566,878,310,49,1,62473
ZCTA5 62474,624,595,0,4,5,0,0,20,52.1,60357,303,321,467,141,32,32,62474
ZCTA5 62475,289,289,0,0,0,0,0,0,21.6,69375,150,139,127,62,16,0,62475
ZCTA5 62476,1385,1332,7,0,0,0,6,40,46.8,62829,739,646,1016,267,209,7,62476
ZCTA5 62477,778,735,43,0,0,0,0,0,41.4,54375,417,361,476,143,38,40,62477
ZCTA5 62478,351,345,0,0,0,0,2,4,44.5,85956,158,193,243,57,75,5,62478
ZCTA5 62479,808,794,2,0,0,0,0,12,37.2,71932,397,411,535,217,110,10,62479
ZCTA5 62480,522,500,0,0,0,0,0,22,48.4,41949,266,256,352,91,46,12,62480
ZCTA5 62481,329,308,7,0,0,0,0,14,41.9,73913,161,168,208,57,14,0,62481
ZCTA5 62501,2242,2163,0,0,0,0,12,67,47.6,90371,1120,1122,1652,375,218,96,62501
ZCTA5 62510,1495,1419,2,2,0,6,0,66,44.5,52799,752,743,988,388,61,26,62510
ZCTA5 62512,502,491,4,0,0,0,0,7,54.3,52885,238,264,404,202,59,0,62512
ZCTA5 62513,1485,1368,19,1,7,0,0,90,45.3,69297,717,768,1064,366,91,107,62513
ZCTA5 62514,380,372,0,0,0,0,0,8,34.9,58083,211,169,264,86,17,10,62514
ZCTA5 62515,1059,1017,0,0,9,0,0,33,54.9,92847,545,514,864,183,71,89,62515
ZCTA5 62517,238,224,0,4,1,0,9,0,28.2,71250,128,110,147,51,23,0,62517
ZCTA5 62518,181,181,0,0,0,0,0,0,42.6,50093,74,107,121,111,4,0,62518
ZCTA5 62519,46,46,0,0,0,0,0,0,31.5,-666666666,23,23,46,17,0,0,62519
ZCTA5 62520,1513,1417,58,0,0,0,18,20,51.3,89044,684,829,1141,455,102,42,62520
ZCTA5 62521,33453,25427,5820,9,333,57,109,1698,42.1,62955,16548,16905,23263,7408,2017,1241,62521
